# SB.API_SB - Archivo semilla del mantenimiento de Entidades Gubernamentales
# Fuente: ListaEntidadesGubernamentales.xlsx (listado oficial entregado con la prueba tecnica)
# Campos: Nombre|Categoria|PoderDelEstado|Sector
# Este archivo es la fuente de verdad legible. Al iniciar la API por primera vez se
# genera GovernmentEntities.txt con identificadores, estado y datos de auditoria.
Ministerio de Educación|Ministerio|Poder Ejecutivo|Educación
Ministerio de Educación Superior, Ciencia y Tecnología|Ministerio|Poder Ejecutivo|Educación Superior, Ciencia y Tecnología
Ministerio de Energía y Minas|Ministerio|Poder Ejecutivo|Energía y Minas
Ministerio de Hacienda y Economía|Ministerio|Poder Ejecutivo|Hacienda
Ministerio de Industria, Comercio y Mipymes|Ministerio|Poder Ejecutivo|Industria, Comercio y MIPYMES
Ministerio de Interior y Policía|Ministerio|Poder Ejecutivo|Interior y Policía
Ministerio de la Juventud|Ministerio|Poder Ejecutivo|Juventud
Ministerio de la Mujer|Ministerio|Poder Ejecutivo|Mujer
Ministerio de la Presidencia|Ministerio|Poder Ejecutivo|Presidencia
Ministerio de la Vivienda, Hábitat y Edificaciones|Ministerio|Poder Ejecutivo|Vivienda, Hábitat y Edificaciones
Ministerio de Medio Ambiente y Recursos Naturales|Ministerio|Poder Ejecutivo|Medio Ambiente y Recursos Naturales
Ministerio de Obras Públicas y Comunicaciones|Ministerio|Poder Ejecutivo|Obras Públicas y Comunicaciones
Ministerio de Relaciones Exteriores|Ministerio|Poder Ejecutivo|Relaciones Exteriores
Ministerio de Salud Pública y Asistencia Social|Ministerio|Poder Ejecutivo|Salud
Ministerio de Trabajo|Ministerio|Poder Ejecutivo|Trabajo
Ministerio de Turismo|Ministerio|Poder Ejecutivo|Turismo
Ministerio Público|Ministerio|Poder Ejecutivo|Justicia
Museo Nacional de Historia Natural "Prof. Eugenio de Jesús Marcano"|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Medio Ambiente y Recursos Naturales
Oficina de la Defensa Civil|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Oficina Gubernamental de Tecnologías de la Información y Comunicación|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Administración Pública
Oficina Nacional de Derecho de Autor|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Industria, Comercio y MIPYMES
Oficina Nacional de Estadística|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Economía, Planificación y Desarrollo
Oficina Nacional de Evaluación Sísmica y Vulnerabilidad de Infraestructura y Edificaciones|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
